time,edge_id,vehicle_count
20.0,-300077497#5,1
20.0,-300077497#8,1
20.0,-593847703#3,2
20.0,1068234498#0,1
20.0,263217604#0,1
20.0,314800955,1
20.0,353392316#0,2
20.0,360851262#0,2
20.0,48794887#0,1
20.0,506322840#0,1
20.0,506322844#0,1
20.0,506322848#0,1
20.0,506322851#0,3
20.0,593847701,1
20.0,593849724,1
20.0,593852346,1
20.0,668037874,1
20.0,910567294,1
20.0,:cluster_623980090_623980094_1,1
40.0,-35274074#2,1
40.0,-593847703#3,4
40.0,238526531#0,1
40.0,263217604#0,1
40.0,288878926#0,1
40.0,353392316#0,3
40.0,360851262#0,2
40.0,49073274,1
40.0,506322840#0,1
40.0,506322844#0,4
40.0,506322848#0,1
40.0,506322851#0,3
40.0,594658762#0,2
40.0,668037874,1
40.0,910567294,1
40.0,:1926948273_0,1
40.0,:3086736518_1,1
40.0,:622618230_3,1
40.0,:622618230_5,1
40.0,:cluster_2528018119_655375236_14,1
40.0,:cluster_5372642442_631668976_631668981_631669076_7,1
40.0,E0,1
60.0,-300077497#5,3
60.0,-35274074#2,1
60.0,-593847703#3,5
60.0,-593849724,1
60.0,182334378#0,2
60.0,198001764#0,1
60.0,238526531#0,1
60.0,263217604#0,4
60.0,268564473#0,1
60.0,300077497#0,1
60.0,353392316#0,3
60.0,360851262#0,4
60.0,49073272#0,1
60.0,49695733#0,1
60.0,49695736#0,1
60.0,506322840#0,1
60.0,506322844#0,1
60.0,506322848#0,2
60.0,506322851#0,2
60.0,593847703#0,2
60.0,593852346,1
60.0,668037874,1
60.0,:3086736518_1,1
60.0,:631668923_0,1
60.0,:655375239_3,1
60.0,:cluster_2528018119_655375236_2,1
80.0,-300077497#5,1
80.0,-35274074#2,1
80.0,-593847703#3,4
80.0,-593849724,1
80.0,1068440004#1,1
80.0,182334378#0,2
80.0,182334379#0,2
80.0,238526531#0,3
80.0,263217604#0,6
80.0,300077497#0,1
80.0,35274074#0,1
80.0,353392316#0,3
80.0,360851262#0,6
80.0,49695733#2,1
80.0,506322841#1,1
80.0,506322844#0,3
80.0,506322848#0,2
80.0,506322851#0,3
80.0,593844216#0,1
80.0,593847702#3,2
80.0,593847703#0,2
80.0,593852346,1
80.0,668037874,1
80.0,:655375233_4,1
80.0,:655375233_5,2
80.0,:cluster_2038168688_655375573_5,1
80.0,E0,1
100.0,-300077497#5,2
100.0,-300077497#8,1
100.0,1068440004#1,1
100.0,182334378#0,2
100.0,238526531#0,3
100.0,263217604#0,7
100.0,353392316#0,4
100.0,360851262#0,8
100.0,49073274,1
100.0,49695733#0,1
100.0,49695733#2,1
100.0,506322844#0,3
100.0,506322848#0,2
100.0,506322851#0,2
100.0,593847702#0,3
100.0,593847702#3,3
100.0,593847703#0,2
100.0,593847704#0,1
100.0,593849711#0,1
100.0,593852346,1
100.0,668037874,1
100.0,:622618108_6,1
100.0,:6251747844_0,1
100.0,:655375233_5,1
100.0,:655375239_3,1
100.0,:655375241_0,1
100.0,:cluster_2528018119_655375236_1,1
100.0,:cluster_5372642442_631668976_631668981_631669076_0,1
100.0,:cluster_5372642442_631668976_631668981_631669076_27,1
120.0,-1334905223#2,1
120.0,-300077497#5,1
120.0,-593847703#3,2
120.0,1068234498#0,1
120.0,182334378#0,3
120.0,182334379#0,1
120.0,238526531#0,3
120.0,263217604#0,12
120.0,288135626#0,1
120.0,300077497#0,1
120.0,35274074#0,1
120.0,353392316#0,3
120.0,360851262#0,4
120.0,48794887#0,1
120.0,49695733#2,1
120.0,506322844#0,1
120.0,506322848#0,4
120.0,506322851#0,3
120.0,593847701,1
120.0,593847702#0,3
120.0,593847702#3,3
120.0,593847704#0,1
120.0,593852346,2
120.0,594658762#0,5
120.0,668037874,1
120.0,:622618108_6,1
120.0,:622618197_2,1
120.0,:622618197_5,1
120.0,:655375233_0,1
120.0,:655375238_7,1
120.0,:655375247_2,1
120.0,:cluster_2038168688_655375573_2,1
120.0,:cluster_2528018119_655375236_12,1
120.0,:cluster_2528018119_655375236_14,1
120.0,:cluster_623980147_623980152_3,1
140.0,-300077497#5,1
140.0,-593847703#3,4
140.0,182334378#0,1
140.0,186602412#0,1
140.0,196961379#0,1
140.0,198001764#0,1
140.0,238526531#0,2
140.0,261898534,1
140.0,263217603#0,1
140.0,263217604#0,12
140.0,300077497#0,1
140.0,353392316#0,5
140.0,360851262#0,2
140.0,49073272#0,1
140.0,49695733#2,1
140.0,506322844#0,6
140.0,506322846#2,1
140.0,506322848#0,3
140.0,506322851#0,3
140.0,593847701,1
140.0,593847702#3,1
140.0,593847703#0,2
140.0,593849711#0,1
140.0,593852346,1
140.0,594658762#0,10
140.0,668037874,1
140.0,:2081945236_2,1
140.0,:622618112_2,1
140.0,:622618230_3,1
140.0,:655375336_10,2
140.0,:655375336_38,1
140.0,:cluster_5372642442_631668976_631668981_631669076_27,1
160.0,-300077497#5,1
160.0,-300077497#8,1
160.0,-593847703#3,6
160.0,1068234498#0,1
160.0,1068440004#1,1
160.0,182334378#0,1
160.0,196961215#0,1
160.0,196961378#1,1
160.0,198001764#0,1
160.0,238526531#0,4
160.0,263217603#0,2
160.0,263217604#0,14
160.0,268564473#0,1
160.0,288135626#0,1
160.0,300077497#0,1
160.0,314800955,1
160.0,353392316#0,3
160.0,360851262#0,4
160.0,506322842#0,2
160.0,506322844#0,2
160.0,506322848#0,5
160.0,506322851#0,3
160.0,51289045#3,2
160.0,51289045#5,1
160.0,51362359#0,1
160.0,593847701,1
160.0,593847702#3,2
160.0,593852346,2
160.0,594658762#0,6
160.0,668037874,1
160.0,910567294,1
160.0,:3086736518_1,1
160.0,:655375233_0,1
160.0,:655375238_1,1
160.0,:655375239_2,1
160.0,:cluster_2038168688_655375573_5,1
160.0,:cluster_2528018119_655375236_12,1
180.0,-300077497#5,5
180.0,-300077497#8,1
180.0,-35274074#2,1
180.0,-593847703#3,7
180.0,1068440004#1,1
180.0,182334378#0,1
180.0,186602412#0,2
180.0,238526531#0,1
180.0,263217604#0,15
180.0,288135626#0,1
180.0,288878926#0,1
180.0,300077497#0,1
180.0,314800955,1
180.0,35274074#0,1
180.0,353392316#0,4
180.0,360851262#0,6
180.0,49695733#2,1
180.0,506322840#0,1
180.0,506322841#1,1
180.0,506322844#0,1
180.0,506322848#0,9
180.0,506322851#0,2
180.0,506322857#0,1
180.0,593847702#3,2
180.0,593847703#0,6
180.0,668037874,2
180.0,910567294,1
180.0,:622618108_3,1
180.0,:655375238_1,1
180.0,:655375239_2,1
180.0,:cluster_2038168688_655375573_2,1
180.0,:cluster_2528018119_655375236_24,1
200.0,-300077497#5,8
200.0,-35274074#2,1
200.0,-593847703#3,7
200.0,1068234498#0,1
200.0,1068234499#0,2
200.0,1068440004#1,1
200.0,182334378#0,3
200.0,182334379#0,1
200.0,238526531#0,3
200.0,263217604#0,15
200.0,300077497#0,3
200.0,35274074#0,2
200.0,353392316#0,2
200.0,360851262#0,8
200.0,49695733#0,1
200.0,506322840#0,1
200.0,506322844#0,5
200.0,506322846#2,1
200.0,506322848#0,5
200.0,506322851#0,3
200.0,593847702#3,2
200.0,593847703#0,1
200.0,593849724,1
200.0,593852346,2
200.0,668037874,3
200.0,:1973482489_3,1
200.0,:655375238_7,1
200.0,:cluster_2528018119_655375236_1,1
200.0,:cluster_9383263990_9383263991_9383263992_9383263993_3,1
220.0,-300077497#5,3
220.0,-300077497#8,1
220.0,-35274074#2,1
220.0,-593847703#3,2
220.0,-593849724,1
220.0,-E0,2
220.0,1068234498#0,1
220.0,1068234499#0,3
220.0,1068440004#1,1
220.0,182334378#0,2
220.0,238526531#0,2
220.0,263217604#0,17
220.0,268564473#0,1
220.0,300077497#0,1
220.0,30620492#1,1
220.0,35274074#0,2
220.0,353392316#0,2
220.0,360851262#0,5
220.0,48794887#0,1
220.0,49073272#0,1
220.0,49695733#0,1
220.0,49695733#2,1
220.0,506322844#0,3
220.0,506322846#0,2
220.0,506322848#0,6
220.0,506322851#0,3
220.0,593847702#0,3
220.0,593847703#0,1
220.0,593847704#0,2
220.0,593849724,1
220.0,593852346,1
220.0,594658762#0,4
220.0,668037874,3
220.0,:3086736518_9,1
220.0,:655375233_0,1
220.0,:655375238_1,1
220.0,:655375239_2,1
220.0,:655375247_4,1
220.0,:cluster_2038168688_655375573_5,1
220.0,:cluster_2528018119_655375236_14,2
220.0,:cluster_2528018119_655375236_26,1
220.0,:cluster_5372642442_631668976_631668981_631669076_17,1
220.0,:cluster_5372642442_631668976_631668981_631669076_7,1
240.0,-300077497#5,3
240.0,-35274074#2,1
240.0,-593847703#3,1
240.0,-E0,2
240.0,1068234498#0,2
240.0,1068440004#1,1
240.0,182334378#0,7
240.0,186602412#0,1
240.0,238526531#0,2
240.0,263217603#0,1
240.0,263217604#0,22
240.0,300077497#0,1
240.0,35274074#0,2
240.0,353392316#0,3
240.0,360851262#0,2
240.0,49073272#0,1
240.0,49695733#2,1
240.0,506322844#0,2
240.0,506322846#0,2
240.0,506322848#0,8
240.0,506322851#0,2
240.0,593847702#0,2
240.0,593847702#3,4
240.0,593847703#0,3
240.0,593852345#0,1
240.0,593852346,1
240.0,594658762#0,6
240.0,668037874,3
240.0,:1926948273_0,1
240.0,:622618108_6,1
240.0,:622618112_4,2
240.0,:655375233_5,1
240.0,:655375240_1,1
240.0,:cluster_2038168688_655375573_19,1
240.0,:cluster_2528018119_655375236_24,1
240.0,E0,1
260.0,-300077497#5,3
260.0,-35274074#2,1
260.0,-E0,2
260.0,1068234498#0,1
260.0,1068234499#0,1
260.0,182334378#0,8
260.0,182334379#0,2
260.0,186602412#0,3
260.0,196961379#0,1
260.0,198001764#0,1
260.0,238526531#0,2
260.0,263217604#0,24
260.0,268564473#0,1
260.0,288135626#0,1
260.0,300077497#0,1
260.0,30620492#1,1
260.0,35274074#0,2
260.0,353392316#0,2
260.0,360851262#0,4
260.0,49073226#2,1
260.0,49695733#0,1
260.0,49695733#2,1
260.0,49695736#0,1
260.0,506322844#0,4
260.0,506322848#0,5
260.0,506322851#0,3
260.0,593847702#3,10
260.0,593847703#0,1
260.0,593849711#0,1
260.0,593849724,1
260.0,594658762#0,3
260.0,668037874,3
260.0,:3086736518_1,1
260.0,:3086736518_19,1
260.0,:655375233_11,1
