time,edge_id,vehicle_count
20.0,-300077497#5,2
20.0,-300077497#8,1
20.0,-35274074#2,3
20.0,-593847703#3,4
20.0,1068234498#0,1
20.0,182334378#0,3
20.0,182336887#2,1
20.0,196961215#0,1
20.0,196961378#1,1
20.0,261898534,1
20.0,263217604#0,1
20.0,268564473#0,1
20.0,303647015#0,1
20.0,30620492#1,1
20.0,314800955,1
20.0,353392316#0,5
20.0,360851262#0,7
20.0,48794887#0,1
20.0,49695733#0,1
20.0,49695733#2,2
20.0,49695736#0,1
20.0,506322840#0,1
20.0,506322841#1,1
20.0,506322844#0,3
20.0,506322846#0,1
20.0,506322851#0,5
20.0,51362429#0,3
20.0,593847701,1
20.0,593847702#3,1
20.0,593849711#0,1
20.0,593849724,1
20.0,593852346,4
20.0,668037874,1
20.0,910567294,1
20.0,:622618108_3,1
20.0,:622618230_3,1
20.0,:655375239_3,1
20.0,:cluster_623980090_623980094_1,1
20.0,E0,3
40.0,-300077497#5,5
40.0,-35274074#2,3
40.0,-593847703#3,11
40.0,-593849724,1
40.0,1068234498#0,1
40.0,182334378#0,4
40.0,182336887#0,1
40.0,182336887#2,1
40.0,196961215#0,1
40.0,196961215#2,1
40.0,196961378#1,1
40.0,198001764#0,1
40.0,238526531#0,1
40.0,263217604#0,9
40.0,268564473#0,2
40.0,288135626#0,1
40.0,288878926#0,1
40.0,303647015#0,1
40.0,314800955,1
40.0,353392316#0,9
40.0,360851262#0,9
40.0,48794887#0,1
40.0,49695733#2,4
40.0,49695736#0,1
40.0,506322840#0,1
40.0,506322841#1,1
40.0,506322844#0,2
40.0,506322846#2,1
40.0,506322851#0,6
40.0,506322857#0,1
40.0,51362429#0,2
40.0,593847701,1
40.0,593847702#3,1
40.0,593849724,1
40.0,593852346,3
40.0,594658762#0,4
40.0,668037874,2
40.0,910567294,2
40.0,:3086736518_1,1
40.0,:622618108_3,1
40.0,:655375247_4,1
40.0,:cluster_2528018119_655375236_26,1
40.0,:cluster_623980147_623980152_3,1
40.0,E0,2
60.0,-300077497#5,7
60.0,-300077497#8,1
60.0,-35274074#2,4
60.0,-593847703#3,17
60.0,-593849724,1
60.0,1068234498#0,5
60.0,182334378#0,5
60.0,196961215#0,1
60.0,196961378#1,1
60.0,198001764#0,1
60.0,238526531#0,4
60.0,261898534,1
60.0,263217603#0,1
60.0,263217604#0,14
60.0,268564473#0,1
60.0,288135626#0,1
60.0,288878926#0,2
60.0,300077497#0,1
60.0,303647015#0,2
60.0,30620492#1,1
60.0,314800955,1
60.0,353392316#0,7
60.0,360851262#0,8
60.0,49073274,1
60.0,49695733#0,2
60.0,49695733#2,2
60.0,49695736#0,2
60.0,506322840#0,1
60.0,506322841#1,1
60.0,506322844#0,2
60.0,506322846#0,1
60.0,506322848#0,1
60.0,506322851#0,5
60.0,506322857#0,1
60.0,51362429#0,2
60.0,593847702#3,3
60.0,593847703#0,5
60.0,593847705,1
60.0,593849711#0,1
60.0,593849724,1
60.0,593852346,2
60.0,594658762#0,7
60.0,668037874,3
60.0,910567294,1
60.0,:3086736518_1,1
60.0,:655375233_0,1
60.0,:655375247_2,1
60.0,:655375336_10,1
60.0,:655375336_38,1
60.0,:cluster_5372642442_631668976_631668981_631669076_21,1
60.0,:cluster_5372642442_631668976_631668981_631669076_7,1
60.0,:cluster_623980147_623980152_14,1
60.0,E0,2
80.0,-300077497#5,13
80.0,-35274074#2,3
80.0,-593847703#3,20
80.0,-593849724,1
80.0,-E0,3
80.0,1068234498#0,3
80.0,1068234499#0,2
80.0,1068440004#1,3
80.0,182334378#0,2
80.0,182334379#0,3
80.0,196961215#0,1
80.0,196961378#1,1
80.0,198001764#0,1
80.0,238526531#0,3
80.0,263217604#0,15
80.0,268564473#0,1
80.0,288135626#0,1
80.0,288878926#0,2
80.0,288878927,1
80.0,300077497#0,4
80.0,303647015#0,2
80.0,314800955,1
80.0,35274074#0,1
80.0,353392316#0,11
80.0,360851262#0,9
80.0,48794887#0,1
80.0,49073272#0,1
80.0,49073274,1
80.0,49695733#0,1
80.0,49695733#2,4
80.0,49695736#0,2
80.0,506322840#0,1
80.0,506322841#1,1
80.0,506322844#0,6
80.0,506322846#2,2
80.0,506322848#0,2
80.0,506322851#0,5
80.0,506322857#0,1
80.0,51289045#5,1
80.0,51362429#0,3
80.0,51392936#0,1
80.0,593847701,1
80.0,593847702#3,4
80.0,593847703#0,4
80.0,593852346,8
80.0,594658762#0,12
80.0,668037874,3
80.0,910567294,1
80.0,:1926948273_0,1
80.0,:1973482489_4,1
80.0,:3086736518_1,1
80.0,:622618108_3,1
80.0,:cluster_2038168688_655375573_5,2
80.0,:cluster_2528018119_655375236_1,1
80.0,:cluster_2528018119_655375236_2,1
80.0,:cluster_5372642442_631668976_631668981_631669076_16,1
80.0,:cluster_5372642442_631668976_631668981_631669076_27,2
80.0,:cluster_623980147_623980152_14,1
80.0,E0,2
100.0,-300077497#5,16
100.0,-35274074#2,1
100.0,-593847703#3,20
100.0,-593849724,3
100.0,-E0,3
100.0,1068234498#0,2
100.0,1068234499#0,4
100.0,1068440004#1,3
100.0,182334378#0,4
100.0,182336886,1
100.0,196961215#0,1
100.0,196961215#2,1
100.0,238526531#0,9
100.0,263217604#0,15
100.0,268564473#0,1
100.0,288135626#0,1
100.0,288878926#0,3
100.0,303647015#0,2
100.0,30620492#1,1
100.0,314800955,1
100.0,35274074#0,2
100.0,353392316#0,18
100.0,360851262#0,14
100.0,48794887#0,1
100.0,49695733#2,3
100.0,49695736#0,2
100.0,506322840#0,2
100.0,506322841#1,1
100.0,506322844#0,5
100.0,506322846#0,2
100.0,506322846#2,2
100.0,506322848#0,6
100.0,506322851#0,6
100.0,51362429#0,2
100.0,593847701,1
100.0,593847702#3,3
100.0,593847703#0,10
100.0,593849711#0,1
100.0,593849724,3
100.0,593852346,7
100.0,594658762#0,12
100.0,668037874,3
100.0,910567294,2
100.0,:1926948273_0,1
100.0,:2444664370_0,1
100.0,:622618108_5,1
100.0,:622618144_4,1
100.0,:622618197_5,1
100.0,:655375233_0,1
100.0,:655375238_7,1
100.0,:655375239_3,1
100.0,:655375240_1,1
100.0,:cluster_5372642442_631668976_631668981_631669076_0,1
100.0,:cluster_5372642442_631668976_631668981_631669076_16,1
100.0,E0,3
120.0,-300077497#5,19
120.0,-300077497#8,1
120.0,-35274074#2,4
120.0,-593847703#3,20
120.0,-593849724,5
120.0,-E0,3
120.0,1068234498#0,6
120.0,1068234499#0,1
120.0,1068440004#1,3
120.0,182334378#0,6
120.0,238526531#0,9
120.0,261898534,1
120.0,263217603#0,1
120.0,263217604#0,22
120.0,268564473#0,1
120.0,288135626#0,4
120.0,288135628#0,1
120.0,288878926#0,4
120.0,300077497#0,5
120.0,303647015#0,2
120.0,314800955,1
120.0,353392316#0,13
120.0,360851262#0,21
120.0,420578931#0,1
120.0,49073272#0,1
120.0,49695733#0,1
120.0,49695733#2,1
120.0,49695736#0,2
120.0,506322840#0,1
120.0,506322841#1,1
120.0,506322844#0,2
120.0,506322846#2,1
120.0,506322848#0,10
120.0,506322851#0,5
120.0,51362429#0,2
120.0,593847702#3,2
120.0,593847703#0,16
120.0,593849711#0,1
120.0,593849724,3
120.0,593852346,8
120.0,594658762#0,2
120.0,668037874,3
120.0,910567294,1
120.0,:3086736518_1,1
120.0,:3139322031_0,1
120.0,:622618144_4,1
120.0,:622618230_3,1
120.0,:622618230_5,1
120.0,:655375233_0,1
120.0,:655375240_1,1
120.0,:cluster_2038168688_655375573_13,1
120.0,:cluster_5372642442_631668976_631668981_631669076_21,2
120.0,:cluster_5372642442_631668976_631668981_631669076_7,1
120.0,:cluster_623980090_623980094_1,1
120.0,:cluster_623980147_623980152_3,1
120.0,E0,3
140.0,-300077497#5,21
140.0,-300077497#8,1
140.0,-35274074#2,8
140.0,-593847703#3,20
140.0,-593849724,5
140.0,-E0,3
140.0,1068234498#0,8
140.0,1068234499#0,6
140.0,1068440004#1,3
140.0,182334378#0,7
140.0,182334379#0,4
140.0,186602412#0,1
140.0,198001764#0,2
140.0,238526531#0,16
140.0,263217604#0,26
140.0,268564473#0,2
140.0,288135626#0,3
140.0,288878926#0,5
140.0,300077497#0,7
140.0,303647015#0,2
140.0,30620492#1,1
140.0,314800955,1
140.0,353392316#0,6
140.0,360851262#0,21
140.0,48794887#0,1
140.0,49073272#0,1
140.0,49695733#0,1
140.0,49695733#2,3
140.0,49695736#0,2
140.0,506322840#0,2
140.0,506322841#1,1
140.0,506322844#0,2
140.0,506322846#0,1
140.0,506322846#2,1
140.0,506322848#0,11
140.0,506322851#0,5
140.0,506322853#0,1
140.0,506322857#0,1
140.0,51362429#0,3
140.0,593847702#3,5
140.0,593847703#0,7
140.0,593849724,6
140.0,593852346,5
140.0,668037874,3
140.0,910567294,1
140.0,:3086736518_1,1
140.0,:622618230_3,1
140.0,:655375233_0,1
140.0,:655375238_1,1
140.0,:655375239_3,1
140.0,:655375336_7,1
140.0,:cluster_2038168688_655375573_19,1
140.0,:cluster_2528018119_655375236_1,2
140.0,:cluster_2528018119_655375236_2,3
140.0,:cluster_5372642442_631668976_631668981_631669076_29,2
140.0,:cluster_5372642442_631668976_631668981_631669076_6,1
140.0,:cluster_623980090_623980094_1,1
140.0,E0,3
160.0,-300077497#5,27
160.0,-35274074#2,6
160.0,-593847703#3,16
160.0,-593849724,6
160.0,-E0,6
160.0,1068234498#0,8
160.0,1068234499#0,12
160.0,1068440004#1,7
160.0,182334379#0,9
160.0,186602412#0,2
160.0,196961215#0,1
160.0,196961378#1,1
160.0,198001764#0,1
160.0,238526531#0,12
160.0,261898534,1
160.0,263217604#0,30
160.0,268564473#0,1
160.0,288878926#0,5
160.0,288878927,1
160.0,300077497#0,8
160.0,303647015#0,2
160.0,314800955,1
160.0,35274074#0,7
160.0,353392316#0,9
160.0,360851262#0,17
160.0,48794887#0,1
160.0,49073264#0,1
160.0,49695733#0,2
160.0,49695733#2,3
160.0,49695736#0,1
160.0,506322840#0,2
160.0,506322841#1,1
160.0,506322844#0,5
160.0,506322848#0,7
160.0,506322851#0,6
160.0,506322853#0,1
160.0,506322857#0,2
160.0,51362429#0,2
160.0,593847701,1
160.0,593847702#0,1
160.0,593847702#3,6
160.0,593847703#0,5
160.0,593849711#0,1
160.0,593849724,1
160.0,593852345#0,1
160.0,593852346,4
160.0,594658762#0,3
160.0,668037874,3
160.0,910567294,2
160.0,:2081945236_2,1
160.0,:2444664370_0,1
160.0,:622618108_3,1
160.0,:631668926_0,1
160.0,:655375233_0,1
160.0,:655375233_4,1
160.0,:655375233_5,1
160.0,:655375238_1,1
160.0,:655375241_0,1
160.0,:655375247_2,1
160.0,:655375336_39,1
160.0,:cluster_2038168688_655375573_5,1
160.0,:cluster_5372642442_631668976_631668981_631669076_12,3
160.0,:cluster_623980147_623980152_14,1
160.0,:cluster_623980147_623980152_9,1
160.0,:cluster_9383263990_9383263991_9383263992_9383263993_18,1
160.0,:cluster_9383263990_9383263991_9383263992_9383263993_19,1
160.0,:cluster_9383263990_9383263991_9383263992_9383263993_7,1
160.0,E0,3
180.0,-1334905223#2,1
180.0,-300077497#5,27
180.0,-35274074#2,9
180.0,-593847703#3,7
180.0,-593849724,6
180.0,-E0,7
180.0,1068234498#0,3
180.0,1068234499#0,8
180.0,1068440004#1,7
180.0,182334378#0,3
180.0,182334379#0,1
180.0,182336886,1
180.0,196961215#0,1
180.0,196961215#2,1
180.0,196961378#1,1
180.0,198001764#0,1
180.0,238526531#0,20
180.0,263217603#0,1
180.0,263217604#0,30
180.0,268564473#0,1
180.0,288135626#0,3
180.0,288878926#0,7
180.0,288878927,1
180.0,300077497#0,4
180.0,303647015#0,2
180.0,30620492#1,4
180.0,314800955,1
180.0,35274074#0,5
180.0,353392316#0,15
180.0,360851262#0,13
180.0,49073272#0,1
180.0,49695733#0,3
180.0,49695733#2,4
180.0,49695736#0,1
180.0,506322840#0,2
180.0,506322841#1,3
180.0,506322844#0,5
180.0,506322846#0,3
