time,edge_id,vehicle_count
20.0,-300077497#5,1
20.0,-300077497#8,1
20.0,-35274074#2,2
20.0,-593849724,3
20.0,1068234498#0,1
20.0,182336887#2,1
20.0,196961215#0,1
20.0,196961215#2,1
20.0,196961378#1,1
20.0,261898534,1
20.0,268564473#0,1
20.0,300077497#0,1
20.0,303647015#0,1
20.0,314800955,1
20.0,353392316#0,2
20.0,360851262#0,7
20.0,48794887#0,1
20.0,49695733#2,2
20.0,49695736#0,3
20.0,506322841#1,1
20.0,506322844#0,3
20.0,506322851#0,5
20.0,506322857#0,1
20.0,51289045#3,1
20.0,51362429#0,1
20.0,593842812#2,2
20.0,593847701,1
20.0,593847702#3,1
20.0,593847704#0,5
20.0,593849711#0,1
20.0,593849724,1
20.0,593852346,3
20.0,668037874,3
20.0,910567294,1
20.0,:622618108_3,1
20.0,:622618108_6,1
20.0,:622618112_2,1
20.0,:622618230_3,1
20.0,:cluster_5372642442_631668976_631668981_631669076_21,1
40.0,-300077497#5,3
40.0,-35274074#2,1
40.0,-593847703#3,1
40.0,-593849724,1
40.0,1068234498#0,2
40.0,1068234499#0,1
40.0,182336887#2,1
40.0,196961215#0,1
40.0,196961215#2,1
40.0,196961378#1,1
40.0,198001764#0,1
40.0,263217604#0,2
40.0,268564473#0,1
40.0,288878926#0,1
40.0,303647015#0,1
40.0,314800955,1
40.0,35274074#0,1
40.0,353392316#0,6
40.0,360851262#0,9
40.0,48794887#0,1
40.0,49073272#0,1
40.0,49073274,1
40.0,49695733#0,1
40.0,49695733#2,2
40.0,49695736#0,7
40.0,506322841#1,1
40.0,506322844#0,3
40.0,506322846#0,1
40.0,506322851#0,5
40.0,51362429#0,2
40.0,593842812#2,4
40.0,593847702#3,8
40.0,593847704#0,8
40.0,593849711#0,1
40.0,593852346,4
40.0,594658762#0,4
40.0,668037874,3
40.0,910567294,2
40.0,:1926948273_1,1
40.0,:3086736518_1,1
40.0,:622618108_1,1
40.0,:631668818_1,1
40.0,:655375238_2,1
40.0,:655375247_4,1
40.0,:cluster_2528018119_655375236_26,1
40.0,:cluster_5372642442_631668976_631668981_631669076_6,1
40.0,:cluster_623980147_623980152_3,1
60.0,-300077497#5,5
60.0,-35274074#2,3
60.0,-593847703#3,2
60.0,-593849724,2
60.0,1068234498#0,3
60.0,1068234499#0,1
60.0,182334379#0,5
60.0,182336887#2,1
60.0,196961215#0,1
60.0,196961378#1,1
60.0,198001764#0,2
60.0,263217603#0,1
60.0,263217604#0,3
60.0,268564473#0,1
60.0,288135626#0,1
60.0,288878926#0,3
60.0,300077497#0,3
60.0,303647015#0,2
60.0,314800955,1
60.0,353392316#0,9
60.0,360851262#0,8
60.0,48794887#0,1
60.0,49073272#0,1
60.0,49695733#2,3
60.0,49695736#0,2
60.0,506322841#1,1
60.0,506322844#0,2
60.0,506322846#2,1
60.0,506322851#0,5
60.0,51362429#0,1
60.0,593842812#2,7
60.0,593847701,1
60.0,593847702#3,11
60.0,593847703#0,5
60.0,593847704#0,11
60.0,593852346,7
60.0,594658762#0,7
60.0,668037874,3
60.0,910567294,1
60.0,:622618108_6,1
60.0,:622618230_3,1
60.0,:655375233_0,2
60.0,:655375247_2,1
60.0,:655375336_10,1
60.0,:cluster_2528018119_655375236_15,1
60.0,:cluster_2528018119_655375236_7,1
80.0,-300077497#5,9
80.0,-35274074#2,1
80.0,-593847703#3,2
80.0,-593849724,4
80.0,1068234498#0,2
80.0,1068234499#0,2
80.0,182334379#0,4
80.0,196961215#0,1
80.0,198001764#0,1
80.0,238526531#0,5
80.0,261898534,1
80.0,263217604#0,3
80.0,268564473#0,1
80.0,288878927,1
80.0,300077497#0,1
80.0,303647015#0,2
80.0,30620492#1,1
80.0,314800955,1
80.0,353392316#0,12
80.0,360851262#0,9
80.0,48794887#0,1
80.0,49073272#0,1
80.0,49695733#0,2
80.0,49695733#2,2
80.0,49695736#0,6
80.0,506322841#1,1
80.0,506322844#0,6
80.0,506322846#0,1
80.0,506322846#2,1
80.0,506322851#0,6
80.0,506322857#0,1
80.0,51289045#3,1
80.0,51289045#5,1
80.0,51362429#0,2
80.0,51392936#0,1
80.0,593842812#2,5
80.0,593847702#3,11
80.0,593847703#0,6
80.0,593847704#0,18
80.0,593849724,2
80.0,593852346,11
80.0,594658762#0,13
80.0,668037874,3
80.0,910567294,1
80.0,:3208478132_0,1
80.0,:622618108_3,1
80.0,:622618108_6,1
80.0,:622618144_4,1
80.0,:631668923_0,1
80.0,:cluster_2528018119_655375236_2,2
80.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_20,1
80.0,:cluster_623980147_623980152_14,1
100.0,-300077497#5,12
100.0,-35274074#2,2
100.0,-593847703#3,2
100.0,-593849724,6
100.0,1068234499#0,3
100.0,182334379#0,11
100.0,196961215#0,1
100.0,196961215#2,1
100.0,198001764#0,1
100.0,261898534,1
100.0,263217603#0,1
100.0,263217604#0,4
100.0,268564473#0,1
100.0,288135626#0,6
100.0,288878926#0,1
100.0,288878927,1
100.0,303647015#0,2
100.0,314800955,1
100.0,353392316#0,11
100.0,360851262#0,15
100.0,49073272#0,1
100.0,49695733#0,1
100.0,49695733#2,5
100.0,49695736#0,10
100.0,506322844#0,3
100.0,506322851#0,4
100.0,506322857#0,1
100.0,51289045#1,1
100.0,51289045#3,3
100.0,51362429#0,2
100.0,51392936#0,3
100.0,593842812#2,1
100.0,593847702#3,9
100.0,593847703#0,2
100.0,593847704#0,20
100.0,593849711#0,1
100.0,593849724,3
100.0,593852346,8
100.0,594658762#0,11
100.0,668037874,3
100.0,910567294,2
100.0,:2081945236_0,1
100.0,:3086736518_1,1
100.0,:622618108_6,1
100.0,:622618144_4,1
100.0,:622618197_2,1
100.0,:622618197_5,1
100.0,:622618230_3,1
100.0,:655375240_1,1
100.0,:cluster_2528018119_655375236_2,2
100.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_0,1
100.0,:cluster_5372642442_631668976_631668981_631669076_6,1
120.0,-300077497#5,10
120.0,-35274074#2,1
120.0,-593847703#3,5
120.0,-593849724,6
120.0,1068234498#0,3
120.0,1068234499#0,12
120.0,182334378#0,2
120.0,182334379#0,13
120.0,196961215#0,1
120.0,196961378#1,1
120.0,198001764#0,1
120.0,261898534,1
120.0,263217603#0,1
120.0,263217604#0,5
120.0,268564473#0,1
120.0,288135626#0,4
120.0,288878926#0,2
120.0,303647015#0,2
120.0,30620492#1,1
120.0,314800955,1
120.0,336063376#0,1
120.0,353392316#0,6
120.0,360851262#0,21
120.0,48794887#0,1
120.0,49073274,1
120.0,49695733#2,4
120.0,49695736#0,12
120.0,506322841#1,1
120.0,506322844#0,3
120.0,506322846#0,1
120.0,506322851#0,4
120.0,51362429#0,1
120.0,51392936#0,3
120.0,593842812#2,2
120.0,593847701,1
120.0,593847702#3,1
120.0,593847703#0,5
120.0,593847704#0,19
120.0,593849711#0,1
120.0,593849718#0,2
120.0,593849724,4
120.0,593852346,6
120.0,594658762#0,1
120.0,668037874,3
120.0,910567294,1
120.0,:622618108_3,1
120.0,:622618108_6,1
120.0,:622618112_2,1
120.0,:622618197_5,1
120.0,:631668923_0,1
120.0,:655375240_1,1
120.0,:cluster_2528018119_655375236_12,2
120.0,:cluster_5372642442_631668976_631668981_631669076_6,1
120.0,:cluster_623980090_623980094_1,1
120.0,:cluster_623980147_623980152_3,1
140.0,-300077497#5,2
140.0,-35274074#2,2
140.0,-593847703#3,7
140.0,-593849724,4
140.0,1068234498#0,7
140.0,1068234499#0,19
140.0,182334378#0,4
140.0,182334379#0,13
140.0,182336887#2,1
140.0,196961215#0,1
140.0,196961215#2,1
140.0,196961378#1,1
140.0,198001764#0,1
140.0,263217604#0,6
140.0,268564473#0,2
140.0,288135626#0,3
140.0,288878926#0,3
140.0,303647015#0,1
140.0,314800955,1
140.0,353392316#0,7
140.0,360851262#0,21
140.0,49073272#0,1
140.0,49695733#2,3
140.0,49695736#0,12
140.0,506322841#1,1
140.0,506322844#0,2
140.0,506322851#0,6
140.0,51362429#0,2
140.0,593842812#2,5
140.0,593847702#3,2
140.0,593847703#0,8
140.0,593847704#0,17
140.0,593849711#2,1
140.0,593849718#0,1
140.0,593849724,6
140.0,593852346,8
140.0,668037874,3
140.0,910567294,1
140.0,:1926948273_1,1
140.0,:3086736518_1,1
140.0,:622618108_5,1
140.0,:622618108_6,1
140.0,:622618144_4,1
140.0,:622618230_3,1
140.0,:655375233_5,1
140.0,:655375238_2,1
140.0,:cluster_2528018119_655375236_12,1
160.0,-300077497#5,5
160.0,-35274074#2,1
160.0,-593847703#3,10
160.0,-593849724,5
160.0,1068234498#0,1
160.0,1068234499#0,9
160.0,1068440004#1,3
160.0,182334378#0,7
160.0,182334379#0,1
160.0,196961215#0,1
160.0,196961378#1,1
160.0,198001764#0,1
160.0,263217604#0,6
160.0,268564473#0,1
160.0,288135626#0,3
160.0,288135628#0,6
160.0,288878926#0,4
160.0,288878927,1
160.0,300077497#0,3
160.0,303647015#0,2
160.0,30620492#1,1
160.0,314800955,1
160.0,353392316#0,10
160.0,360851262#0,17
160.0,48794887#0,1
160.0,49695733#2,3
160.0,49695736#0,6
160.0,506322841#1,1
160.0,506322841#3,1
160.0,506322844#0,6
160.0,506322846#0,2
160.0,506322851#0,6
160.0,51362429#0,2
160.0,51392936#0,1
160.0,593842812#2,7
160.0,593847702#3,1
160.0,593847703#0,8
160.0,593847704#0,19
160.0,593849711#2,1
160.0,593849724,6
160.0,593852346,11
160.0,594658762#0,3
160.0,668037874,3
160.0,910567294,2
160.0,:3086736518_1,1
160.0,:622618108_5,1
160.0,:622618108_6,1
160.0,:622618144_4,1
160.0,:622618230_3,1
160.0,:631668926_0,1
160.0,:655375233_0,1
160.0,:655375247_4,1
160.0,:655375336_9,1
160.0,:cluster_2528018119_655375236_15,1
160.0,:cluster_2528018119_655375236_27,1
160.0,:cluster_2528018119_655375236_7,3
160.0,:cluster_3208478133_655375293_655375296_9631728504_#1more_14,1
160.0,:cluster_623980147_623980152_14,1
180.0,-300077497#5,6
180.0,-35274074#2,1
180.0,-593847703#3,11
180.0,-593849724,5
180.0,1068234498#0,1
180.0,1068234499#0,1
180.0,1068440004#1,3
180.0,182334378#0,5
180.0,182334379#0,2
180.0,182336887#0,1
180.0,196961215#0,1
